,country,indicator,date,year_week,value,source,url
5444,Cyprus,Weekly new ICU admissions per 100k,2020-03-22,2020-W12,0.675671871216941,TESSy COVID-19,
5445,Cyprus,Weekly new ICU admissions per 100k,2020-03-29,2020-W13,1.91440363511467,TESSy COVID-19,
5446,Cyprus,Weekly new ICU admissions per 100k,2020-04-05,2020-W14,1.01350780682541,TESSy COVID-19,
5447,Cyprus,Weekly new ICU admissions per 100k,2020-04-12,2020-W15,1.01350780682541,TESSy COVID-19,
5448,Cyprus,Weekly new ICU admissions per 100k,2020-04-19,2020-W16,0.450447914144628,TESSy COVID-19,
5449,Cyprus,Weekly new ICU admissions per 100k,2020-04-26,2020-W17,0.225223957072314,TESSy COVID-19,
5450,Cyprus,Weekly new ICU admissions per 100k,2020-05-03,2020-W18,0.112611978536157,TESSy COVID-19,
5451,Cyprus,Weekly new ICU admissions per 100k,2020-05-10,2020-W19,0.225223957072314,TESSy COVID-19,
5452,Cyprus,Weekly new ICU admissions per 100k,2020-08-02,2020-W31,0.112611978536157,TESSy COVID-19,
5453,Cyprus,Weekly new ICU admissions per 100k,2020-08-09,2020-W32,0.112611978536157,TESSy COVID-19,
5454,Cyprus,Weekly new ICU admissions per 100k,2020-08-23,2020-W34,0.112611978536157,TESSy COVID-19,
5455,Cyprus,Weekly new ICU admissions per 100k,2020-09-13,2020-W37,0.112611978536157,TESSy COVID-19,
5456,Cyprus,Weekly new ICU admissions per 100k,2020-09-27,2020-W39,0.225223957072314,TESSy COVID-19,
5457,Cyprus,Weekly new ICU admissions per 100k,2020-10-04,2020-W40,0.450447914144628,TESSy COVID-19,
5458,Cyprus,Weekly new ICU admissions per 100k,2020-10-18,2020-W42,0.337835935608471,TESSy COVID-19,
5459,Cyprus,Weekly new ICU admissions per 100k,2020-10-25,2020-W43,0.450447914144628,TESSy COVID-19,
5460,Cyprus,Weekly new ICU admissions per 100k,2020-11-01,2020-W44,0.450447914144628,TESSy COVID-19,
5461,Cyprus,Weekly new ICU admissions per 100k,2020-11-08,2020-W45,0.675671871216941,TESSy COVID-19,
5462,Cyprus,Weekly new ICU admissions per 100k,2020-11-15,2020-W46,1.46395572097004,TESSy COVID-19,
5463,Cyprus,Weekly new ICU admissions per 100k,2020-11-22,2020-W47,0.675671871216941,TESSy COVID-19,
5464,Cyprus,Weekly new ICU admissions per 100k,2020-11-29,2020-W48,0.900895828289255,TESSy COVID-19,
5465,Cyprus,Weekly new ICU admissions per 100k,2020-12-06,2020-W49,1.12611978536157,TESSy COVID-19,
5466,Cyprus,Weekly new ICU admissions per 100k,2020-12-13,2020-W50,0.900895828289255,TESSy COVID-19,
5467,Cyprus,Weekly new ICU admissions per 100k,2020-12-20,2020-W51,1.68917967804235,TESSy COVID-19,
5468,Cyprus,Weekly new ICU admissions per 100k,2020-12-27,2020-W52,2.3648515492593,TESSy COVID-19,
5469,Cyprus,Weekly new ICU admissions per 100k,2021-01-03,2020-W53,1.46395572097004,TESSy COVID-19,
5470,Cyprus,Weekly new ICU admissions per 100k,2021-01-10,2021-W01,2.47746352779545,TESSy COVID-19,
5471,Cyprus,Weekly new ICU admissions per 100k,2021-01-17,2021-W02,3.04052342047624,TESSy COVID-19,
5472,Cyprus,Weekly new ICU admissions per 100k,2021-01-24,2021-W03,1.80179165657851,TESSy COVID-19,
5473,Cyprus,Weekly new ICU admissions per 100k,2021-01-31,2021-W04,1.01350780682541,TESSy COVID-19,
5474,Cyprus,Weekly new ICU admissions per 100k,2021-02-07,2021-W05,0.788283849753098,TESSy COVID-19,
5475,Cyprus,Weekly new ICU admissions per 100k,2021-02-14,2021-W06,1.23873176389773,TESSy COVID-19,
5476,Cyprus,Weekly new ICU admissions per 100k,2021-02-21,2021-W07,1.12611978536157,TESSy COVID-19,
5477,Cyprus,Weekly new ICU admissions per 100k,2021-02-28,2021-W08,0.337835935608471,TESSy COVID-19,
